timestamp,open,high,low,close,volume
2020-12-25,2.7199,2.9762,1.7924,2.2954,194284193.612753
2020-12-26,2.2958,2.4609,1.5717,1.5967,105418896.837093
2020-12-27,1.597,1.6516,1.036,1.0612,101273967.408492
2020-12-28,1.06,1.2787,1.0353,1.114,45505928.992213
2020-12-29,1.114,1.1166,0.7541,0.8845,48073723.12896
2020-12-30,0.8845,1.2574,0.8702,1.0934,61465212.258155
2020-12-31,1.0932,1.4033,1.0582,1.3637,56262752.408986
2021-01-01,1.3623,1.3974,1.0863,1.155,24465518.026843
2021-01-02,1.1521,1.1607,1.0,1.025,12861436.62075
2021-01-03,1.0259,1.1568,0.9456,1.108,21370432.495059
2021-01-04,1.108,1.24,0.9722,1.0317,20456223.082662
2021-01-05,1.0317,1.38,0.98,1.2501,24772365.76234
2021-01-06,1.2502,1.5269,1.1885,1.51,35369375.95108
2021-01-07,1.5109,1.615,1.244,1.2925,37327120.55827
2021-01-08,1.294,1.3485,1.0111,1.1867,28161975.522535
2021-01-09,1.1864,1.2999,1.112,1.2431,21282757.752106
2021-01-10,1.2441,1.3871,1.11,1.2058,27376198.030271
2021-01-11,1.2032,1.2126,0.9623,1.1243,19766330.204242
2021-01-12,1.1262,1.214,1.055,1.1275,14122650.797779
2021-01-13,1.1272,1.3345,1.06,1.277,20123388.883208
2021-01-14,1.275,1.4026,1.2637,1.3395,18063982.2852
2021-01-15,1.3379,1.51,1.1716,1.3516,33544488.378938
2021-01-16,1.3506,1.8416,1.3313,1.6319,48763640.480958
2021-01-17,1.6316,2.19,1.5844,2.0362,75630316.779939
2021-01-18,2.0343,2.0768,1.68,1.8827,46696100.526484
2021-01-19,1.8814,2.1,1.7979,1.9005,41172161.704159
2021-01-20,1.9043,1.9652,1.6412,1.847,27459373.552279
2021-01-21,1.8453,1.8847,1.546,1.569,25449093.378704
2021-01-22,1.5733,1.85,1.4113,1.7562,24654877.554878
2021-01-23,1.7585,1.998,1.7058,1.9309,27785264.867867
2021-01-24,1.9338,2.49,1.8786,2.4743,51070241.692679
2021-01-25,2.4707,2.72,2.2933,2.3585,72129338.524312
2021-01-26,2.3546,2.69,2.18,2.6881,53324781.77685
2021-01-27,2.6898,2.7278,2.2288,2.4955,53437076.0956
2021-01-28,2.4985,3.3579,2.425,3.1197,93747461.951823
2021-01-29,3.1124,3.4772,2.8416,3.3511,67762376.817214
2021-01-30,3.3571,4.7,3.1707,4.586,175026014.004943
2021-01-31,4.5861,5.55,4.455,4.9309,281652048.491198
2021-02-01,4.931,5.2729,4.2715,5.0194,157954302.877827
2021-02-02,5.0176,5.074,4.56,4.6714,63843715.793976
2021-02-03,4.67,5.2657,4.35,5.0363,88178111.821532
2021-02-04,5.0357,5.95,4.5818,5.5705,144215807.04586
2021-02-05,5.5699,6.33,5.5076,5.825,108282858.432829
2021-02-06,5.8187,5.94,5.1,5.26,92799096.067945
2021-02-07,5.2598,5.3095,4.3001,4.9512,101852817.804323
2021-02-08,4.9547,5.4763,4.69,5.3251,95201397.517685
2021-02-09,5.3255,5.3484,4.8143,5.067,82115548.636637
2021-02-10,5.0648,5.4206,4.4,4.8912,91814091.363323
2021-02-11,4.9,5.86,4.673,5.6254,109095296.050284
2021-02-12,5.6254,5.8,5.1201,5.2528,108774916.711615
2021-02-13,5.2527,6.024,5.1301,5.7,134444125.199919
2021-02-14,5.7,6.29,5.1001,5.25,112725860.894121
2021-02-15,5.25,5.528,4.205,4.95,131866303.266833
2021-02-16,4.9413,5.1836,4.6124,4.7567,72440427.156593
2021-02-17,4.7625,5.0699,4.4,4.828,70126670.741956
2021-02-18,4.8307,5.1749,4.71,4.7718,59507834.22696
2021-02-19,4.7803,4.8697,4.5,4.6031,59944860.911305
2021-02-20,4.604,5.8976,4.44,5.1293,177945251.819955
2021-02-21,5.1104,5.4783,4.9087,5.0575,81564170.483391
2021-02-22,5.0575,5.0706,3.6047,4.5317,86059493.234438
2021-02-23,4.5351,4.5759,3.0,3.6811,88759753.697119
2021-02-24,3.6938,4.1635,3.4083,3.6436,62336572.46297
2021-02-25,3.6447,4.66,3.51,3.9342,139088001.165054
2021-02-26,3.9355,5.1676,3.7764,4.4897,221283691.51184
2021-02-27,4.4984,4.865,4.01,4.1598,80444145.542601
2021-02-28,4.1492,4.1813,3.5,3.8407,68685193.535446
2021-03-01,3.8408,4.2,3.777,4.1194,54030164.996279
2021-03-02,4.1194,4.3556,3.81,4.0087,60321833.799517
2021-03-03,4.011,4.3177,3.986,4.0648,47278919.475559
2021-03-04,4.0685,4.2387,3.7501,3.8366,41864492.880042
2021-03-05,3.8367,3.85,3.52,3.7287,35420276.238261
2021-03-06,3.7327,3.8647,3.6051,3.8626,22734489.123828
2021-03-07,3.8646,4.11,3.7818,3.9827,52320759.933592
2021-03-08,3.988,4.4662,3.85,4.3249,71601684.843846
2021-03-09,4.3249,4.555,4.2001,4.4366,62923810.395498
2021-03-10,4.4365,4.5225,3.93,4.0047,63538319.696569
2021-03-11,4.0078,4.14,3.8888,3.9999,44048636.149738
2021-03-12,3.9999,4.142,3.68,3.8026,47934689.42474
2021-03-13,3.8022,4.2434,3.6302,4.0955,46036114.124778
2021-03-14,4.1002,4.22,3.83,3.8322,37572927.958102
2021-03-15,3.8358,4.3835,3.72,3.9417,70665172.165573
2021-03-16,3.9435,4.6426,3.787,4.5603,82396338.975812
2021-03-17,4.5603,5.034,4.2512,5.034,89795445.040097
2021-03-18,5.0295,5.0981,4.5445,4.5727,57414898.734798
2021-03-19,4.5729,5.2445,4.4555,4.8866,68333458.444344
2021-03-20,4.8915,5.1968,4.68,4.7019,38661762.181767
2021-03-21,4.7027,4.794,4.487,4.6725,31912826.707292
2021-03-22,4.6701,4.8481,4.1885,4.3,45217903.360916
2021-03-23,4.3,4.4757,4.0,4.0854,43054417.184838
2021-03-24,4.0854,4.3403,3.5747,3.7154,39323427.665897
