timestamp,open,high,low,close,volume
2021-04-07,7.0,10.0,2.3,2.9857,1032729542.452366
2021-04-08,2.9857,3.2,2.3064,2.3877,224812964.139139
2021-04-09,2.3881,2.5564,2.101,2.2719,81286673.890624
2021-04-10,2.2773,2.7689,2.25,2.3497,77920066.517015
2021-04-11,2.3491,2.4,2.2,2.3032,29501512.070796
2021-04-12,2.3045,2.64,2.22,2.3865,54298817.259027
2021-04-13,2.3831,2.44,2.0,2.1419,48217441.458883
2021-04-14,2.1419,2.22,1.97,2.0509,38950540.290315
2021-04-15,2.0481,2.195,1.9901,2.0347,29107615.24512
2021-04-16,2.0346,2.0417,1.688,1.7412,35086799.795607
2021-04-17,1.741,2.117,1.7291,2.042,48572583.37444
2021-04-18,2.0476,3.4815,1.851,2.9251,406010934.174316
2021-04-19,2.9334,3.7941,2.7001,2.7515,509894863.784589
2021-04-20,2.7482,3.1315,2.3888,2.4338,162421057.445553
2021-04-21,2.4394,2.94,2.3748,2.4088,81603505.615486
2021-04-22,2.41,2.57,2.12,2.1257,53862509.058348
2021-04-23,2.1223,2.31,1.78,2.22,47493522.096861
2021-04-24,2.2157,2.45,2.0063,2.2567,47405788.386684
2021-04-25,2.2566,2.5599,2.1461,2.295,44081293.218445
2021-04-26,2.295,2.5499,2.2714,2.4568,36892506.042039
2021-04-27,2.4568,2.89,2.33,2.755,66706685.829629
2021-04-28,2.75,3.1738,2.58,2.8331,89485519.667921
2021-04-29,2.8331,3.1314,2.6633,2.9716,81648658.418331
2021-04-30,2.974,3.58,2.9492,3.5309,128541381.352938
2021-05-01,3.5406,3.551,3.15,3.1917,58904954.846288
2021-05-02,3.1917,4.6519,2.9023,4.4668,259066154.392748
2021-05-03,4.4624,4.99,4.0334,4.2556,315329442.866478
2021-05-04,4.2557,4.3,3.6,3.6201,140492210.147286
2021-05-05,3.6224,4.3655,3.579,3.9968,112410219.197001
2021-05-06,3.9923,4.1649,3.6,3.6651,83147756.925507
2021-05-07,3.6639,3.85,3.38,3.5182,60001122.865392
2021-05-08,3.5185,4.14,3.4509,3.7426,75475896.970503
2021-05-09,3.7426,3.75,3.39,3.5328,43376425.285121
2021-05-10,3.5328,3.88,3.1,3.2495,63777101.503673
2021-05-11,3.2558,3.8492,3.11,3.7067,76345204.196554
2021-05-12,3.7002,3.79,3.075,3.0769,50133865.438702
2021-05-13,3.0883,3.3232,2.81,2.9649,47556383.267286
2021-05-14,2.9649,3.3114,2.9124,3.0977,32918390.161899
2021-05-15,3.098,3.1568,2.8109,2.8324,28038844.128348
2021-05-16,2.8279,3.229,2.8,2.9481,33145908.50695
2021-05-17,2.9499,3.1301,2.5,2.708,33370619.522004
2021-05-18,2.7052,3.1766,2.6808,2.9559,50916334.776399
2021-05-19,2.9585,3.0362,1.49,1.8809,46914850.58731
2021-05-20,1.8867,2.29,1.6667,2.0935,28586351.770823
2021-05-21,2.0915,2.25,1.5057,1.7512,22351203.429506
2021-05-22,1.7513,1.7952,1.4775,1.5052,13269322.008778
2021-05-23,1.5052,1.55,1.002,1.2806,19590020.078425
2021-05-24,1.2802,1.7,1.1986,1.6889,17587985.314473
2021-05-25,1.689,1.86,1.379,1.6235,16120747.074067
2021-05-26,1.6231,1.926,1.5721,1.9113,14476692.941846
2021-05-27,1.9141,1.95,1.6668,1.8153,15021359.514354
2021-05-28,1.8201,1.8306,1.4692,1.5854,12250137.512239
2021-05-29,1.5841,1.6294,1.3678,1.4567,7049746.537657
2021-05-30,1.4561,1.6146,1.3769,1.5337,6218122.475502
2021-05-31,1.5302,1.6741,1.4361,1.6612,8356767.689269
2021-06-01,1.6602,2.2493,1.6372,2.0284,83857967.524349
2021-06-02,2.0282,2.5311,1.9209,2.4099,64483592.998482
2021-06-03,2.4099,2.879,2.36,2.6811,58150096.88894
2021-06-04,2.6806,2.6838,2.1267,2.3031,41776750.227569
2021-06-05,2.3033,2.7459,2.2712,2.3975,44298804.297466
2021-06-06,2.3935,2.5101,2.3,2.3897,17297007.860803
2021-06-07,2.3895,2.5282,2.1,2.1472,18269901.305631
2021-06-08,2.1484,2.25,1.7866,2.0453,28047364.576118
2021-06-09,2.0453,2.2822,1.8717,2.2732,25594818.890363
2021-06-10,2.2732,2.28,1.95,1.9918,17894227.941944
2021-06-11,1.9878,2.1892,1.9,1.946,16791478.210504
2021-06-12,1.9469,1.9629,1.79,1.9067,8713307.083783
2021-06-13,1.9057,2.1,1.837,2.0682,8895686.323803
2021-06-14,2.0682,2.0989,1.9504,2.0233,11637947.88201
2021-06-15,2.0254,2.07,1.946,1.9732,9296567.343335
2021-06-16,1.9726,1.9775,1.8151,1.8363,8685858.991443
2021-06-17,1.8369,1.9277,1.798,1.8312,6038578.530643
2021-06-18,1.8307,1.8345,1.6733,1.73,6035343.896276
2021-06-19,1.7337,1.7548,1.6441,1.6955,5797330.7299110005
2021-06-20,1.6959,1.761,1.5897,1.7025,8510530.969703
2021-06-21,1.7034,1.7236,1.3002,1.3089,11372090.773182
2021-06-22,1.3069,1.451,1.1517,1.3144,12016052.012975
2021-06-23,1.3187,1.5732,1.2721,1.4675,9947347.130323
2021-06-24,1.468,1.4912,1.3511,1.4553,6206341.477168
2021-06-25,1.4565,1.5,1.3206,1.3517,5150834.173276
2021-06-26,1.3501,1.3911,1.262,1.3322,4234744.901106
2021-06-27,1.3322,1.3826,1.302,1.3794,3802216.110487
2021-06-28,1.3808,1.452,1.3513,1.4176,5290335.715639
2021-06-29,1.4193,1.5001,1.4,1.4404,4996263.714775
2021-06-30,1.4383,1.4558,1.27,1.3933,5214372.133755
2021-07-01,1.3915,1.3918,1.3,1.3283,3027038.9193
2021-07-02,1.3271,1.3378,1.2858,1.3204,1938923.291191
2021-07-03,1.3213,1.413,1.3061,1.3939,2995288.968675
2021-07-04,1.3941,1.4689,1.36,1.4217,4203827.727511
2021-07-05,1.4217,1.4243,1.335,1.3592,3434955.506549
2021-07-06,1.357,1.485,1.34,1.4185,5377674.505535
2021-07-07,1.4184,1.5859,1.4092,1.4617,9988298.829902
2021-07-08,1.4595,1.4603,1.3247,1.3425,5649689.07948
