timestamp,open,high,low,close,volume
2021-03-04,1.3776,1.4409,1.2715,1.3431,2920648.484455
2021-03-05,1.3416,1.3955,1.2408,1.3551,3093184.077322
2021-03-06,1.3551,1.77,1.3492,1.746,16303528.384278
2021-03-07,1.7482,1.941,1.6178,1.83,33147903.759478
2021-03-08,1.825,1.8655,1.65,1.7272,8832980.571095
2021-03-09,1.7278,1.8381,1.7,1.7938,9429692.765568
2021-03-10,1.7906,1.95,1.6309,1.8158,12288895.500262
2021-03-11,1.8158,1.857,1.6558,1.7443,10679537.687755
2021-03-12,1.7505,2.1,1.6812,1.9293,19190947.058284
2021-03-13,1.9292,2.199,1.8191,2.0668,17925763.584015
2021-03-14,2.0747,2.4577,1.9893,2.0471,24946847.744311
2021-03-15,2.0469,2.14,1.82,2.0408,19033250.036373
2021-03-16,2.0441,2.0739,1.7888,1.9089,10499008.647852
2021-03-17,1.9092,2.2017,1.82,2.1932,12855855.32892
2021-03-18,2.2018,2.2108,1.9339,1.9672,9987056.657017
2021-03-19,1.9735,2.0683,1.8826,1.9858,10174385.532541
2021-03-20,1.9858,2.4335,1.9796,2.2128,19433097.180224
2021-03-21,2.2211,2.382,1.97,2.3564,18412772.909397
2021-03-22,2.3528,2.8,2.2064,2.3462,37313281.776628
2021-03-23,2.3502,2.4663,2.0791,2.2293,20636588.324562
2021-03-24,2.225,2.542,2.045,2.0704,14003798.481696
2021-03-25,2.0701,2.0968,1.8517,1.9301,12150962.246909
2021-03-26,1.9336,2.25,1.9221,2.1664,10684907.813187
2021-03-27,2.1735,2.229,2.0001,2.0999,8744234.68604
2021-03-28,2.0953,2.2305,2.0084,2.09,9847277.285215
2021-03-29,2.0901,2.489,2.0632,2.44,16949647.860221
2021-03-30,2.44,2.68,2.36,2.456,15219641.652037
2021-03-31,2.454,2.69,2.2023,2.6552,17389342.021306
2021-04-01,2.6474,2.7846,2.451,2.505,14588160.48759
2021-04-02,2.5136,2.8998,2.4293,2.82,24367695.871689
2021-04-03,2.8199,2.92,2.5,2.564,18622951.996128
2021-04-04,2.562,2.7997,2.5283,2.7187,12038863.762863
2021-04-05,2.7186,3.2,2.536,2.9977,30444902.480023
2021-04-06,2.9875,3.5,2.7733,2.963,29003799.475826
2021-04-07,2.9591,2.9625,2.44,2.6015,16151498.009164
2021-04-08,2.608,2.8,2.51,2.6676,10736837.592703
2021-04-09,2.6604,2.7243,2.5123,2.537,10291115.615589
2021-04-10,2.5399,2.7508,2.403,2.5146,14709686.922618
2021-04-11,2.5076,2.72,2.4357,2.5871,13197324.978114
2021-04-12,2.5883,2.7014,2.4368,2.4852,10661185.91688
2021-04-13,2.4765,2.5228,2.2559,2.27,12644194.901655
2021-04-14,2.2723,2.3207,2.1667,2.2775,12358110.898816
2021-04-15,2.2729,2.4153,2.2507,2.3076,9194940.156306
2021-04-16,2.3034,2.3143,2.0631,2.2214,9695731.516609
2021-04-17,2.2217,2.4101,2.2111,2.3119,10262470.695626
2021-04-18,2.3116,2.3863,1.7306,1.9179,9010617.533541
2021-04-19,1.9166,1.96,1.7278,1.7635,10619248.976387
2021-04-20,1.7627,1.8097,1.4852,1.7317,9278614.271128
2021-04-21,1.7322,1.95,1.6539,1.6693,12415016.676408
2021-04-22,1.6668,1.7852,1.471,1.5126,9461490.390553
2021-04-23,1.512,1.5436,1.1729,1.3918,8076407.794226
2021-04-24,1.3927,1.4245,1.1978,1.2259,5862546.637363
2021-04-25,1.2289,2.0,1.2168,1.8649,66971265.971654
2021-04-26,1.8648,1.8656,1.6244,1.7268,25139731.572429
2021-04-27,1.7274,1.8647,1.6824,1.845,14860126.242997
2021-04-28,1.8433,1.9099,1.6267,1.7484,11899872.102713
2021-04-29,1.75,2.133,1.678,1.9749,25794936.902728
2021-04-30,1.9759,2.0988,1.8816,1.9198,12009399.98879
2021-05-01,1.9187,1.9402,1.8206,1.8648,8727866.312261
2021-05-02,1.8645,2.1,1.7286,1.9113,14710868.387615
2021-05-03,1.9113,2.045,1.8705,1.8726,8423697.519286
2021-05-04,1.8734,1.918,1.6572,1.7266,11430565.167538
2021-05-05,1.7265,3.7227,1.71,3.0112,306061631.112404
2021-05-06,3.0052,3.4628,2.4298,2.4582,201752347.572201
2021-05-07,2.4616,2.6079,2.2032,2.2878,43192576.793161
2021-05-08,2.2832,2.6802,2.2334,2.6408,46206759.477
2021-05-09,2.6374,2.958,2.2883,2.3774,65467723.192353
2021-05-10,2.3771,2.498,2.0115,2.0983,25007075.508137
2021-05-11,2.0964,2.356,2.0,2.2372,19720915.208676
2021-05-12,2.2396,2.3,1.75,1.7725,19490967.752008
2021-05-13,1.7713,2.1758,1.682,1.8555,12847461.079853
2021-05-14,1.8549,2.0578,1.8398,1.9533,10920053.374724
2021-05-15,1.9533,2.0498,1.7152,1.7328,7545201.118102
2021-05-16,1.7344,1.9625,1.6129,1.7661,8739702.42307
2021-05-17,1.7662,1.94,1.5302,1.7196,11127865.131566
2021-05-18,1.7203,1.82,1.655,1.7076,5626499.939041
2021-05-19,1.7074,1.7351,0.8697,1.1142,9319008.207393
2021-05-20,1.1141,1.4101,1.0005,1.3193,7136946.197533
2021-05-21,1.3193,1.3711,0.9238,1.0906,5673037.59661
2021-05-22,1.0911,1.113,0.925,1.0032,3063618.006461
2021-05-23,1.0048,1.0548,0.6641,0.8193,4094228.036283
2021-05-24,0.8193,1.0965,0.7921,1.029,2598998.519195
2021-05-25,1.0273,1.0587,0.8867,1.0146,2660958.260194
2021-05-26,1.015,1.2484,0.9853,1.175,5959060.186955
2021-05-27,1.1765,1.25,1.0089,1.1183,4672199.731482
2021-05-28,1.1186,1.1449,0.9124,0.952,3423629.156611
2021-05-29,0.9536,1.02,0.8307,0.8917,2377789.890986
2021-05-30,0.8916,0.99,0.833,0.9466,1666211.473258
2021-05-31,0.9449,1.385,0.9042,1.2737,20854304.036972
2021-06-01,1.2737,1.2998,1.0896,1.1409,9065428.059462
2021-06-02,1.1409,1.206,1.1027,1.1529,4995931.056847
2021-06-03,1.1502,1.2136,1.121,1.1688,3494926.327222
2021-06-04,1.1688,1.1739,0.9975,1.0669,3100547.512963
2021-06-05,1.067,1.1552,0.9999,1.0303,2800517.957686
2021-06-06,1.0304,1.2139,1.0199,1.1,5824790.998286
2021-06-07,1.1,1.2461,0.9858,0.9895,6131407.637762
2021-06-08,0.9924,1.0641,0.8793,1.0121,3416279.536212
2021-06-09,1.0125,1.15,0.9567,1.1,4358387.4136500005
2021-06-10,1.1041,1.25,1.0575,1.1905,6846982.948872
2021-06-11,1.1905,1.2078,1.0167,1.0338,4223709.738978
2021-06-12,1.0334,1.0959,0.9711,1.0236,3508987.234338
2021-06-13,1.0224,1.1074,1.0024,1.0943,2209853.876797
2021-06-14,1.097,1.18,1.0651,1.1295,2393490.254578
