timestamp,open,high,low,close,volume
2021-09-08,0.8379,0.8461,0.77,0.816,13470880.52499
2021-09-09,0.816,1.03,0.775,0.8958,12681336.52007
2021-09-10,0.8958,0.99,0.7874,0.818,10240628.37369
2021-09-11,0.8196,0.89,0.7743,0.8033,3275379.67584
2021-09-12,0.8033,0.8384,0.776,0.8109,2971865.33767
2021-09-13,0.8136,0.83,0.6803,0.7213,3027998.66666
2021-09-14,0.7204,0.7328,0.6877,0.7194,1499667.50461
2021-09-15,0.7189,0.7937,0.7114,0.7529,7080208.43817
2021-09-16,0.753,0.82,0.7093,0.7745,25868977.28106
2021-09-17,0.7746,1.38,0.7556,1.0007,194705908.33248
2021-09-18,1.0007,1.068,0.8918,0.9216,31327797.68269
2021-09-19,0.9209,0.9308,0.8333,0.8465,8424643.49123
2021-09-20,0.8465,1.075,0.7601,0.8578,43190366.67108
2021-09-21,0.8575,0.93,0.7257,0.7484,12925720.11019
2021-09-22,0.7488,0.8499,0.7299,0.8384,5288661.48771
2021-09-23,0.84,0.85,0.75,0.7878,10682494.02361
2021-09-24,0.7886,0.7889,0.6666,0.7123,5371134.00085
2021-09-25,0.7107,0.7188,0.658,0.6732,2206032.09057
2021-09-26,0.6737,0.6739,0.595,0.643,1919356.01482
2021-09-27,0.6449,0.6777,0.6112,0.6178,2385984.35523
2021-09-28,0.6178,0.632,0.5621,0.5644,2059645.77627
2021-09-29,0.5653,0.6012,0.551,0.5671,1574924.257
2021-09-30,0.5661,0.6935,0.5579,0.6343,12826334.19723
2021-10-01,0.634,0.6761,0.627,0.6751,5516594.61595
2021-10-02,0.6747,0.6828,0.6437,0.6663,3705521.56829
2021-10-03,0.666,0.676,0.6424,0.6652,1992412.76227
2021-10-04,0.6654,0.7198,0.651,0.6827,6289404.65856
2021-10-05,0.6836,0.6936,0.652,0.682,3116536.41802
2021-10-06,0.6832,0.75,0.653,0.72,7782404.88134
2021-10-07,0.7222,0.7222,0.6775,0.6926,2880498.28091
2021-10-08,0.6907,0.739,0.6635,0.7095,4726698.50843
2021-10-09,0.7079,0.7096,0.6677,0.6804,2111681.02908
2021-10-10,0.6804,0.6865,0.6503,0.6546,1446561.87047
2021-10-11,0.6534,0.7382,0.6366,0.7059,6251313.50283
2021-10-12,0.7067,0.7068,0.6374,0.6563,3000325.11737
2021-10-13,0.6574,0.6679,0.639,0.6646,777916.72933
2021-10-14,0.665,0.6729,0.6527,0.6614,1311115.45331
2021-10-15,0.6614,0.6678,0.5952,0.6152,3112202.2382
2021-10-16,0.6152,0.6232,0.5996,0.6076,2275734.8304
2021-10-17,0.6076,0.628,0.5781,0.5964,2853394.32381
2021-10-18,0.5975,0.6,0.5697,0.58,1692816.26666
2021-10-19,0.58,0.6095,0.5611,0.587,1850342.36633
2021-10-20,0.587,0.6042,0.5702,0.6011,1444392.67151
2021-10-21,0.6011,0.6127,0.572,0.5847,1424509.61016
2021-10-22,0.5853,0.5975,0.5751,0.5899,947087.31989
2021-10-23,0.5899,0.6099,0.5847,0.5923,1062718.77803
2021-10-24,0.5934,0.5937,0.5687,0.5837,784899.99158
2021-10-25,0.5834,0.5929,0.5772,0.5884,1098358.34032
2021-10-26,0.5884,0.6034,0.5787,0.5823,1614049.19863
2021-10-27,0.5818,0.588,0.5016,0.5158,2166194.47299
2021-10-28,0.5151,0.5445,0.4977,0.5421,1522294.80263
2021-10-29,0.5414,0.565,0.5382,0.5567,1024528.18525
2021-10-30,0.5568,0.5947,0.5448,0.5667,2177191.67938
2021-10-31,0.5676,0.6212,0.5467,0.5809,6665992.35516
2021-11-01,0.5795,0.632,0.5704,0.6228,5658728.79968
2021-11-02,0.6232,0.6281,0.599,0.6201,1970999.86178
2021-11-03,0.6195,0.6198,0.5743,0.5881,1524115.28507
2021-11-04,0.5881,0.6064,0.58,0.5926,1978526.30749
2021-11-05,0.5926,0.5926,0.5713,0.5766,747390.00868
2021-11-06,0.5764,0.5821,0.5602,0.5771,580571.81923
2021-11-07,0.5771,0.5806,0.5724,0.5806,547286.58542
2021-11-08,0.5808,0.6036,0.54,0.5799,1740681.17939
2021-11-09,0.5803,0.584,0.5685,0.5728,1112239.78576
2021-11-10,0.5726,0.5778,0.5293,0.5376,1028503.53081
2021-11-11,0.5376,0.5526,0.5312,0.5436,792564.45825
2021-11-12,0.5431,0.5439,0.521,0.5321,565141.69568
2021-11-13,0.533,0.5482,0.5303,0.5438,653220.06942
2021-11-14,0.5444,0.5543,0.5353,0.5525,694432.13589
2021-11-15,0.5535,0.6574,0.5462,0.5777,7135793.56973
2021-11-16,0.5776,0.5803,0.5017,0.5513,3800077.59325
2021-11-17,0.5513,0.5877,0.525,0.5789,3675071.20432
2021-11-18,0.5789,0.5829,0.4963,0.5043,2005941.17693
2021-11-19,0.504,0.526,0.4864,0.526,993793.29182
2021-11-20,0.5263,0.5615,0.5196,0.5474,1718303.58502
2021-11-21,0.5475,0.5542,0.5263,0.5364,938515.71631
2021-11-22,0.5359,0.5359,0.5079,0.5155,1032455.1264
2021-11-23,0.5158,0.5265,0.5001,0.518,962387.91122
2021-11-24,0.5187,0.5248,0.4959,0.5046,934565.96472
2021-11-25,0.5039,0.5293,0.4919,0.5282,1258100.49324
2021-11-26,0.5282,0.651,0.5007,0.5529,19116060.83012
2021-11-27,0.5529,0.5768,0.5197,0.5337,5548173.20577
2021-11-28,0.5324,0.5933,0.5234,0.5603,7341246.72043
2021-11-29,0.5589,0.5611,0.5355,0.5537,1358696.76187
2021-11-30,0.5529,0.5529,0.5174,0.5263,1299069.49642
2021-12-01,0.5269,0.5382,0.5201,0.5313,1167714.87313
2021-12-02,0.5302,0.536,0.5086,0.5325,2134910.91323
2021-12-03,0.5325,0.59,0.4912,0.4994,9171019.9163
2021-12-04,0.4994,0.5041,0.31,0.4224,3525616.65265
2021-12-05,0.4222,0.4239,0.3621,0.3862,689022.08355
2021-12-06,0.3853,0.8695,0.3429,0.5407,135240046.61974
2021-12-07,0.5407,0.666,0.4755,0.4788,68554850.16947
2021-12-08,0.4795,0.499,0.4528,0.4647,5858801.58147
2021-12-09,0.4643,0.4687,0.4009,0.4009,2780793.78909
2021-12-10,0.4009,0.4211,0.3784,0.3784,2152317.97073
2021-12-11,0.3782,0.47,0.3749,0.45,9839992.82371
2021-12-12,0.45,0.458,0.4102,0.4219,2572625.47616
2021-12-13,0.4231,0.4245,0.3666,0.3729,1564049.24332
2021-12-14,0.3729,0.3883,0.3555,0.3731,1351401.64704
2021-12-15,0.3728,0.393,0.3534,0.3851,1023153.37251
2021-12-16,0.3842,0.3905,0.3741,0.3753,831806.86838
2021-12-17,0.3745,0.4,0.3604,0.3734,1391666.64457
2021-12-18,0.3726,0.3817,0.3661,0.378,517522.36102
