timestamp,open,high,low,close,volume
2020-06-12,1.234,1.345,1.122,1.279,2248045.113081
2020-06-13,1.282,1.296,1.171,1.203,1768369.509184
2020-06-14,1.204,1.249,1.121,1.171,1830286.37634
2020-06-15,1.171,1.218,1.051,1.165,2108568.773627
2020-06-16,1.165,1.267,1.141,1.256,1856094.951794
2020-06-17,1.255,1.256,1.162,1.195,987327.80882
2020-06-18,1.193,1.197,1.14,1.151,804749.1352199999
2020-06-19,1.151,1.224,1.142,1.195,1127488.399625
2020-06-20,1.193,1.303,1.19,1.289,2655682.179528
2020-06-21,1.294,1.303,1.219,1.228,984782.567862
2020-06-22,1.228,1.277,1.21,1.246,1551043.368419
2020-06-23,1.243,1.252,1.168,1.205,1055570.659231
2020-06-24,1.202,1.225,1.152,1.176,1108568.262711
2020-06-25,1.176,1.18,1.1,1.154,688507.6254199999
2020-06-26,1.154,1.203,1.14,1.16,1180723.812611
2020-06-27,1.16,1.177,1.001,1.065,1210393.170604
2020-06-28,1.065,1.132,1.044,1.097,962330.766425
2020-06-29,1.1,1.201,1.077,1.173,2170902.328747
2020-06-30,1.173,1.239,1.16,1.21,2048323.822411
2020-07-01,1.207,1.353,1.192,1.339,3268428.189434
2020-07-02,1.336,1.557,1.334,1.532,12365551.665361
2020-07-03,1.532,1.985,1.517,1.858,25146063.892465
2020-07-04,1.856,1.865,1.59,1.655,16649556.66692
2020-07-05,1.656,1.764,1.552,1.607,9086099.379544
2020-07-06,1.607,1.789,1.571,1.671,10345851.619471
2020-07-07,1.671,1.715,1.56,1.584,8384742.796202
2020-07-08,1.587,1.676,1.561,1.586,9077380.025498
2020-07-09,1.586,1.738,1.567,1.671,10438093.020174
2020-07-10,1.671,1.674,1.575,1.618,4526711.216972
2020-07-11,1.616,1.671,1.58,1.643,5371942.859729
2020-07-12,1.643,1.67,1.583,1.613,4042628.525499
2020-07-13,1.611,1.68,1.442,1.524,7700478.843424
2020-07-14,1.526,1.6,1.464,1.6,8117686.286669
2020-07-15,1.595,1.677,1.566,1.585,7965136.387182
2020-07-16,1.584,1.631,1.496,1.573,8395925.764925
2020-07-17,1.572,1.641,1.549,1.637,4771344.747025
2020-07-18,1.636,1.92,1.635,1.826,19638059.81605
2020-07-19,1.827,1.836,1.678,1.691,7525435.704515
2020-07-20,1.692,1.785,1.591,1.635,6914565.5879420005
