timestamp,open,high,low,close,volume
2021-12-10,3.54,5.0,1.77,1.826,172912593.51002
2021-12-11,1.823,2.177,1.772,1.879,35528759.55277
2021-12-12,1.879,1.997,1.791,1.85,10175723.18948
2021-12-13,1.848,1.884,1.347,1.417,13366912.86069
2021-12-14,1.422,1.565,1.35,1.419,6764976.45514
2021-12-15,1.418,2.076,1.418,1.756,57641089.7265
2021-12-16,1.754,1.939,1.681,1.725,14766114.04287
2021-12-17,1.727,1.753,1.511,1.598,5882252.7766
2021-12-18,1.594,1.697,1.539,1.6,4162619.20384
2021-12-19,1.602,1.65,1.57,1.573,2404860.80606
2021-12-20,1.574,1.609,1.461,1.517,3099602.45526
2021-12-21,1.519,1.838,1.518,1.737,5697606.67809
2021-12-22,1.739,1.784,1.608,1.619,5146875.54678
2021-12-23,1.619,1.75,1.577,1.681,3878654.34105
2021-12-24,1.683,2.2,1.648,2.065,21129117.4671
2021-12-25,2.065,2.95,2.03,2.394,78333647.82264
2021-12-26,2.395,2.55,2.164,2.461,22193464.75248
2021-12-27,2.462,2.548,2.255,2.296,11808388.89518
2021-12-28,2.296,2.314,2.05,2.093,9305161.12723
2021-12-29,2.097,2.14,1.883,1.921,7654872.647869999
2021-12-30,1.917,2.348,1.894,2.074,17068611.50311
2021-12-31,2.074,2.49,2.07,2.395,19987746.59126
